,Q3,Q4,Q5,Q6,Q7,Q10,Q12,Q14,Q16,Q18,Q21,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31,Q33,Q34,Q35,Q36,Q37
237,3,6,2,1,6,5,2,1,1,5,5,1,4,6,6,1,7,7,2,6,3,6,6,1,1
238,2,2,1,1,6,6,2,1,1,4,1,1,1,1,1,1,7,5,1,6,1,6,6,1,1
239,5,7,7,1,7,5,3,4,2,6,6,5,3,6,6,1,6,6,1,2,3,2,3,1,1
240,3,7,1,1,1,6,1,1,1,2,6,4,1,5,6,1,4,5,1,3,1,3,5,2,1
241,5,7,6,1,4,2,1,1,1,1,7,3,1,1,4,2,7,7,5,7,2,5,7,2,3
242,1,4,4,1,1,5,1,3,1,4,4,1,1,1,2,1,6,5,4,4,1,2,2,2,2
243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,4,7,1,1,2,3,2,1,1,3,7,6,2,3,5,1,6,5,2,7,6,3,1,5,2
245,5,6,6,1,4,4,2,2,2,4,4,1,3,5,4,1,6,6,3,5,4,3,5,3,3
246,3,7,7,1,4,1,1,1,1,1,7,2,3,6,7,1,1,2,1,1,1,1,1,1,1
247,6,6,2,1,4,5,1,5,2,5,4,4,2,4,4,4,6,5,5,6,1,5,6,2,2
248,4,5,5,2,2,4,1,1,1,2,3,2,2,2,5,1,7,6,5,6,2,5,4,1,1
249,1,7,2,1,4,1,1,1,1,1,7,1,7,4,5,4,7,1,1,7,7,7,7,1,1
250,5,6,6,3,3,5,3,2,2,5,5,3,3,2,2,3,1,2,1,1,2,3,2,4,1
251,7,7,4,1,7,6,2,5,2,5,6,5,2,2,5,2,7,5,2,4,1,5,5,2,2
252,2,5,1,1,4,3,1,1,1,3,3,1,1,5,4,1,7,6,1,6,5,5,4,1,1
253,1,1,1,7,6,7,2,2,6,3,1,2,7,7,7,2,7,2,2,2,1,3,1,1,1
254,2,7,2,4,3,1,2,1,1,2,5,4,5,5,5,2,7,7,6,7,5,4,4,1,1
255,6,7,3,1,1,6,2,5,5,3,5,5,5,5,5,1,7,7,1,1,1,1,1,1,1
256,1,6,1,1,1,6,1,1,1,5,7,1,1,1,5,1,5,5,1,6,5,6,4,4,6
257,6,6,5,1,2,7,5,5,5,4,2,1,1,1,1,2,7,6,7,7,2,1,5,1,1
258,1,5,1,1,4,6,2,3,1,5,5,2,3,5,6,1,7,6,6,5,2,5,3,2,1
259,4,3,2,1,1,5,1,5,1,6,5,1,2,1,3,1,7,7,7,7,2,1,7,2,1
260,3,5,5,1,6,2,1,1,1,2,2,1,1,2,2,1,6,6,1,1,6,2,1,3,7
261,1,7,1,1,2,3,1,1,1,2,7,1,1,7,7,1,7,7,1,1,1,1,1,1,7
262,2,2,1,1,1,7,2,1,1,1,1,1,1,1,1,1,7,3,1,1,4,1,7,5,1
263,3,4,3,1,3,7,1,1,1,2,1,1,1,5,2,1,7,2,5,7,1,1,1,1,1
264,5,7,7,1,3,5,2,3,1,2,5,4,3,5,5,2,2,5,1,2,3,6,5,5,2
265,5,5,5,1,1,1,1,1,1,1,3,1,1,1,1,1,6,5,1,3,2,5,2,1,1
266,4,6,2,1,3,5,1,2,2,5,6,2,4,4,4,1,3,6,1,3,1,5,5,1,1
267,4,7,1,1,4,5,1,3,2,5,5,5,3,3,5,4,7,5,5,5,2,4,6,2,2
268,4,6,2,1,5,5,1,1,1,4,6,1,4,4,5,1,7,6,1,2,1,2,4,1,1
269,2,7,2,1,1,1,1,1,1,6,2,2,2,2,2,1,6,6,1,1,1,1,1,1,1
270,5,6,5,1,4,5,2,1,2,5,5,4,3,4,5,1,6,5,1,4,3,6,3,2,1
271,5,7,5,2,2,3,3,3,2,3,5,3,2,3,3,1,3,6,3,3,3,3,3,3,3
272,3,6,2,1,1,1,1,1,1,5,3,2,2,2,5,2,6,6,2,5,3,5,5,2,1
273,2,2,2,1,2,3,1,2,1,2,2,2,2,2,3,2,6,2,2,6,2,2,2,2,2
274,5,6,4,3,3,5,3,5,4,4,6,4,4,2,5,1,4,4,4,4,4,4,4,4,3
275,6,7,1,1,6,1,1,1,1,5,4,2,1,1,4,1,7,7,1,1,2,3,1,1,2
